department,employee,check_in_date,first_in,last_out,report_type,status
1218,28852,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28853,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28854,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28855,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28856,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28857,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28858,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28859,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28860,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28861,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28862,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28863,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28864,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28865,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28866,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28867,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28868,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28869,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28870,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28871,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28872,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28873,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28874,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28875,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28876,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28877,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28878,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28879,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28880,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28881,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28882,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28883,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28884,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28885,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28886,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28887,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28888,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28889,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28890,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28891,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28892,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28893,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28894,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28895,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28896,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28897,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28898,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28899,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28900,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28901,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28902,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28903,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28904,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28905,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28906,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28907,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28908,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28909,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28910,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28911,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28912,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28913,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28914,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28915,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28916,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28917,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28918,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28919,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28920,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28921,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28922,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28923,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28924,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28925,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28926,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
1218,28927,2024-02-05,2024-02-05 08:25:00,2024-02-05 18:05:00,0,"Đi sớm,Về muộn"
